Tree,BS,DBH,DB,V,WP
1,0,39.5,14,2,1
2,0,30.5,59,5,1
3,1,30.7,78,1,1
4,0,10.5,78,1,0
5,1,33.1,81,3,1
6,0,5.5,28,1,0
7,0,13.2,100,0,1
8,0,14,50,1,1
9,1,22.2,91,1,1
10,0,15.4,60,3,0
11,0,21.1,11,5,1
12,0,29,20,3,0
13,0,13.8,56,1,1
14,1,10.2,45,1,1
15,0,19.5,93,3,0
16,1,0.1,80,2,1
17,1,13.7,14,2,1
18,0,15.9,99,4,1
19,1,19.2,29,4,0
20,0,34.9,70,4,1
21,1,4.8,82,3,1
22,1,39.4,44,4,0
23,0,6.1,87,1,0
24,1,36.1,52,3,1
25,0,39.7,11,0,1
26,0,0.2,36,5,0
27,0,22.4,17,1,0
28,0,18.2,48,2,0
29,0,10.8,72,1,1
30,0,32.7,41,0,0
31,0,35.8,72,2,1
32,1,12.7,74,1,1
33,0,33.1,29,4,0
34,1,33.2,95,4,0
35,0,1.6,6,2,1
36,1,3.5,25,4,1
37,0,27.7,33,1,1
38,1,26.9,70,0,1
39,0,7.6,29,3,0
40,0,24.6,11,1,0
41,0,29.6,4,3,1
42,1,32.3,38,1,0
43,0,20.8,46,5,0
44,0,13,14,0,1
45,1,22,74,0,1
46,0,0.6,1,2,1
47,0,38.4,65,2,0
48,1,2.4,37,2,0
49,1,8.2,97,5,1
50,1,12.3,77,3,0
51,0,4.1,24,2,1
52,0,23.7,22,3,0
53,0,11.3,9,5,1
54,0,24.8,100,4,0
55,0,15.7,37,4,1
56,0,28.9,65,4,0
57,1,4.3,48,2,1
58,1,22.8,90,3,1
59,0,0.2,3,2,0
60,0,4.1,39,2,0
61,1,37,58,3,1
62,0,4,7,4,1
63,1,12.3,91,1,0
64,0,16.5,35,3,0
65,0,14.9,16,3,0
66,1,37.5,64,1,1
67,0,16.5,19,1,0
68,1,24.6,61,2,0
69,1,29.3,100,3,0
70,1,31.1,93,3,0
71,0,28,54,1,0
72,1,24.1,84,4,0
73,0,21.7,62,1,1
74,1,28.7,42,2,0
75,1,14.2,46,2,1
76,1,15.6,65,3,0
77,0,14.1,17,3,1
78,1,31.5,99,3,1
79,1,5.7,81,3,1
80,0,17.1,64,3,0
81,1,34.1,15,2,0
82,1,31.4,78,0,0
83,1,20.8,73,1,1
84,0,3.3,27,0,1
85,1,37.9,96,4,0
86,1,39.8,38,4,0
87,1,23.9,1,3,0
88,1,22.5,85,0,0
89,1,11.7,76,3,0
90,1,37.3,23,5,0
91,0,7.4,9,4,0
92,0,36,60,1,1
93,0,34.3,83,0,0
94,0,32.3,73,4,0
95,1,22.8,77,2,1
96,0,1.5,21,4,0
97,0,6.9,81,2,1
98,1,30.4,9,5,0
99,1,4.5,17,5,1
100,1,26.1,70,2,0
101,1,38.6,34,5,0
102,0,3.2,86,3,0
103,1,31.3,45,4,1
104,0,22.5,23,5,1
105,1,23.4,84,2,0
106,1,11.5,40,4,1
107,0,8.9,93,2,0
108,0,10.4,11,1,0
109,1,21.4,80,2,1
110,1,0.2,38,1,0
111,0,8.5,85,3,1
112,0,18,56,2,0
113,0,23.8,69,2,0
114,1,33.8,69,1,0
115,0,4.3,7,2,0
116,1,31.2,95,2,0
117,0,9.5,21,1,1
118,0,0.8,54,5,0
119,1,22.2,50,3,1
120,1,12.2,2,3,1
121,1,10.7,42,0,0
122,0,27.2,41,5,0
123,1,23.4,99,3,1
124,1,37.8,97,0,0
125,1,37.4,4,4,0
126,1,15.6,99,4,0
127,1,29.6,13,4,0
128,1,39.1,22,0,0
129,0,19.5,7,0,0
130,0,35.5,68,4,1
131,1,9.2,63,1,1
132,0,5.3,7,1,1
133,1,13.3,52,1,1
134,0,38.2,11,2,1
135,1,23.1,53,1,1
136,0,25.5,30,5,1
137,0,33.9,46,2,1
138,1,21.5,77,0,1
139,1,35.3,6,0,1
140,0,20.1,55,4,0
141,0,9.3,39,3,0
142,1,5.8,57,1,1
143,1,11.5,46,0,1
144,0,33.7,65,2,0
145,0,3.4,91,4,1
146,1,35.4,31,4,0
147,0,25,24,3,0
148,0,26.5,20,4,0
149,0,14.8,39,2,0
150,0,25.9,12,2,1
151,0,38.6,79,3,0
152,1,3.5,78,4,1
153,1,25.6,93,3,1
154,0,6.9,92,2,0
155,1,8.8,4,3,1
156,0,16,31,4,0
157,1,23.3,4,2,1
158,1,21.9,89,3,1
159,0,38.7,67,4,1
160,1,23.8,92,1,0
161,1,26.9,23,2,0
162,1,32.6,43,1,1
163,0,4.1,35,1,0
164,1,10.6,43,2,1
165,1,4.9,60,1,0
166,0,36.9,15,3,0
167,0,23.9,20,0,1
168,1,37.1,62,1,0
169,1,11.1,62,3,1
170,0,26.7,31,1,0
171,0,1.4,4,2,1
172,0,17.5,94,3,1
173,1,33.8,22,0,1
174,0,9,60,1,1
175,0,15.8,19,3,1
176,0,17.9,81,3,1
177,0,10.1,90,4,1
178,1,11.9,87,2,0
179,0,25.7,97,1,0
180,0,13.6,78,1,1
181,0,18.8,41,2,0
182,1,13.8,11,4,0
183,0,15.5,90,2,1
184,1,31.2,25,1,1
185,0,19.2,16,1,0
186,0,26.5,25,2,1
187,0,32.7,46,4,1
188,0,19.9,50,2,0
189,1,28.8,63,1,1
190,0,21.6,31,0,0
191,0,2,83,1,1
192,1,16.9,24,1,1
193,1,25.9,18,3,0
194,0,13.5,53,1,1
195,0,6.5,89,1,0
196,1,28.7,85,0,0
197,0,11.6,85,4,1
198,1,15.2,2,2,1
199,0,25.9,61,0,1
200,1,31,45,4,0
201,0,17.6,93,2,1
202,1,21.5,54,3,0
203,1,25.9,23,1,0
204,1,7.5,16,1,0
205,1,13.2,55,1,0
206,0,18.5,37,3,1
207,0,11.1,71,3,1
208,0,34.9,60,3,1
209,1,1.1,47,1,0
210,0,24.6,63,4,0
211,0,3.5,28,2,0
212,1,16.6,5,2,1
213,0,13.3,73,3,1
214,1,6.8,38,0,0
215,1,36.8,82,3,1
216,0,6.3,5,4,1
217,1,34.4,90,2,1
218,0,34.5,63,1,1
219,0,17.4,63,3,1
220,1,13.7,8,1,0
221,1,20.1,5,1,0
222,1,10.7,29,4,1
223,1,38,63,0,0
224,1,29,77,0,1
225,1,30.1,19,5,0
226,1,13.9,32,4,0
227,0,12.8,78,4,1
228,0,36.1,40,2,1
229,1,0.6,7,2,1
230,0,24.8,5,2,1
231,0,1.7,57,2,0
232,1,22.7,90,3,1
233,0,33.1,84,3,1
234,1,2.4,85,1,1
235,0,2.5,11,0,1
236,1,38.3,82,0,1
237,0,32.3,39,3,1
238,0,30.9,10,2,1
239,0,24.9,25,3,0
240,0,28.7,73,3,1
241,0,9,40,3,1
242,0,26.4,69,0,1
243,0,19.1,38,4,1
244,0,22.5,50,1,0
245,0,14.1,34,0,0
246,1,36,4,0,0
247,0,25,60,5,0
248,1,36,89,3,1
249,1,10.7,53,3,1
250,0,35.2,99,3,1
251,0,35.8,7,1,0
252,0,14.7,27,1,0
253,1,17.3,43,3,0
254,0,34.8,54,2,0
255,1,16.8,26,1,0
256,1,12.3,42,2,1
257,0,35.6,58,5,0
258,0,19.5,6,4,1
259,0,38.5,11,1,0
260,0,30.9,89,1,1
261,1,17,46,3,0
262,1,19.8,88,2,0
263,0,30.5,47,3,0
264,0,19.7,28,3,1
265,1,39.9,33,1,0
266,0,2.2,36,2,1
267,1,2.5,10,4,1
268,1,8.4,72,0,1
269,1,11.8,95,5,0
270,0,6.8,43,3,1
271,1,6.9,78,3,0
272,0,5.3,10,5,0
273,0,20.1,96,4,0
274,1,27.6,74,2,1
275,1,10.1,25,2,0
276,1,32.2,0,5,0
277,1,1.7,26,4,0
278,0,29.7,36,4,0
279,0,35.6,12,4,1
280,1,21.1,87,3,1
281,1,9.2,90,4,0
282,1,13.4,85,1,1
283,0,22.5,65,2,1
284,0,16.8,47,1,1
285,0,12.7,76,4,0
286,1,30.2,89,0,1
287,1,28.4,53,2,1
288,0,23.8,55,2,0
289,0,16.4,72,2,1
290,1,6.9,18,0,0
291,0,12.1,54,4,1
292,0,24.2,9,0,0
293,1,29.4,5,4,0
294,0,12,14,4,1
295,0,9.5,28,5,0
296,1,39.4,42,4,1
297,0,16.7,26,1,1
298,1,18.3,18,2,0
299,1,35,51,3,1
300,1,27.9,42,2,1
301,1,26.7,76,2,1
302,1,38.4,67,1,1
303,1,21.8,23,3,0
304,0,32.4,24,2,0
305,1,29.8,11,4,0
306,0,24.4,76,3,1
307,0,4.5,78,4,0
308,0,37.8,97,4,0
309,1,18.3,8,5,1
310,1,7,55,4,1
311,1,6,23,5,0
312,1,24.5,81,2,0
313,0,28.7,91,0,0
314,1,13.8,1,4,0
315,1,30.1,41,1,1
316,0,9.2,87,0,1
317,1,34.7,71,0,1
318,1,37.6,28,3,1
319,1,27.1,49,5,0
320,0,27.7,46,3,1
321,0,2.2,82,4,0
322,1,32.3,6,3,0
323,0,26.2,66,4,0
324,0,12,50,4,0
325,0,12.8,2,4,1
326,0,29.4,12,4,0
327,0,35.8,45,3,0
328,0,10.5,4,4,1
329,0,0.2,75,3,1
330,1,1.3,64,3,0
331,1,21.2,72,4,0
332,1,14.7,93,0,0
333,1,4,67,5,1
334,1,3.2,63,2,1
335,1,30.7,38,4,0
336,1,35.4,27,2,0
